XL2 Broadband Logging:		RBL\2016-06-28_SLM_002_123_Log.txt                                             
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-10242-E0, FW3.03
	Mic Type:       	NTi Audio M2230, SNo. 5494, User calibrated 2016-06-22  08:12
	Mic Sensitivity:	38.2 mV/Pa

# Measurement Setup
	Profile:        	RBL
	Timer mode:     	repeat
	Timer set:      	00:01:00
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2016-06-28, 20:05:08
	End:            	2016-06-28, 20:08:14

# Broadband LOG Results
	Date        	Time      	Timer     	LZeq_dt 	LZeq    	LZFmax_dt	LZFmin_dt	LAeq_dt 	LAeq    	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    	[dB]     	[dB]     	[dB]    	[dB]    	        
	2016-06-28  	20:05:09  	00:00:59  	55.8    	55.8    	58.5     	54.3     	28.8    	28.8    	        
	2016-06-28  	20:05:10  	00:00:58  	53.1    	54.6    	55.4     	51.6     	30.8    	30.0    	        
	2016-06-28  	20:05:11  	00:00:57  	53.9    	54.4    	56.5     	50.3     	36.8    	33.5    	        
	2016-06-28  	20:05:12  	00:00:56  	57.3    	55.3    	61.5     	52.3     	35.9    	34.2    	        
	2016-06-28  	20:05:13  	00:00:55  	53.3    	55.0    	57.6     	50.1     	31.5    	33.8    	        
	2016-06-28  	20:05:14  	00:00:54  	52.6    	54.7    	56.1     	49.2     	30.4    	33.4    	        
	2016-06-28  	20:05:15  	00:00:53  	53.7    	54.6    	56.6     	51.5     	28.1    	32.9    	        
	2016-06-28  	20:05:16  	00:00:52  	53.8    	54.5    	57.2     	50.8     	28.4    	32.6    	        
	2016-06-28  	20:05:17  	00:00:51  	54.4    	54.5    	57.5     	51.0     	28.5    	32.3    	        
	2016-06-28  	20:05:18  	00:00:50  	56.4    	54.7    	59.9     	51.4     	28.1    	32.0    	        
	2016-06-28  	20:05:19  	00:00:49  	52.3    	54.5    	57.2     	49.7     	28.7    	31.8    	        
	2016-06-28  	20:05:20  	00:00:48  	55.4    	54.6    	57.8     	49.4     	28.4    	31.6    	        
	2016-06-28  	20:05:21  	00:00:47  	55.5    	54.7    	58.2     	53.3     	28.5    	31.4    	        
	2016-06-28  	20:05:22  	00:00:46  	51.0    	54.5    	53.8     	49.3     	27.7    	31.2    	        
	2016-06-28  	20:05:23  	00:00:45  	50.9    	54.3    	53.7     	49.4     	28.1    	31.1    	        
	2016-06-28  	20:05:24  	00:00:44  	52.2    	54.2    	54.4     	49.1     	27.5    	30.9    	        
	2016-06-28  	20:05:25  	00:00:43  	52.1    	54.1    	55.2     	49.2     	27.5    	30.8    	        
	2016-06-28  	20:05:26  	00:00:42  	53.0    	54.1    	55.2     	48.2     	27.8    	30.7    	        
	2016-06-28  	20:05:27  	00:00:41  	50.9    	53.9    	53.7     	48.7     	28.2    	30.6    	        
	2016-06-28  	20:05:28  	00:00:40  	50.8    	53.8    	52.5     	49.0     	28.5    	30.5    	        
	2016-06-28  	20:05:29  	00:00:39  	51.8    	53.8    	54.1     	50.4     	28.5    	30.4    	        
	2016-06-28  	20:05:30  	00:00:38  	52.9    	53.7    	55.8     	49.3     	30.0    	30.4    	        
	2016-06-28  	20:05:31  	00:00:37  	54.3    	53.8    	56.5     	50.8     	36.6    	31.0    	        
	2016-06-28  	20:05:32  	00:00:36  	53.3    	53.7    	55.2     	51.3     	28.5    	30.9    	        
	2016-06-28  	20:05:33  	00:00:35  	54.5    	53.8    	56.5     	51.9     	28.5    	30.8    	        
	2016-06-28  	20:05:34  	00:00:34  	56.4    	53.9    	58.7     	53.1     	28.5    	30.7    	        
	2016-06-28  	20:05:35  	00:00:33  	59.5    	54.3    	62.4     	53.6     	28.1    	30.7    	        
	2016-06-28  	20:05:36  	00:00:32  	56.9    	54.4    	61.6     	52.4     	27.3    	30.6    	        
	2016-06-28  	20:05:37  	00:00:31  	55.8    	54.5    	59.0     	52.5     	27.1    	30.5    	        
	2016-06-28  	20:05:38  	00:00:30  	53.2    	54.5    	57.2     	49.5     	27.1    	30.4    	        
	2016-06-28  	20:05:39  	00:00:29  	57.7    	54.6    	59.2     	53.3     	27.2    	30.3    	        
	2016-06-28  	20:05:40  	00:00:28  	55.5    	54.6    	58.7     	51.8     	27.2    	30.3    	        
	2016-06-28  	20:05:41  	00:00:27  	56.8    	54.7    	60.2     	52.7     	27.5    	30.2    	        
	2016-06-28  	20:05:42  	00:00:26  	53.5    	54.7    	56.6     	51.0     	30.4    	30.2    	        
	2016-06-28  	20:05:43  	00:00:25  	56.1    	54.7    	59.1     	50.9     	34.8    	30.4    	        
	2016-06-28  	20:05:44  	00:00:24  	56.6    	54.8    	59.7     	52.3     	28.6    	30.4    	        
	2016-06-28  	20:05:45  	00:00:23  	56.5    	54.9    	58.4     	54.7     	28.8    	30.4    	        
	2016-06-28  	20:05:46  	00:00:22  	57.5    	54.9    	59.9     	54.6     	33.9    	30.5    	        
	2016-06-28  	20:05:47  	00:00:21  	54.8    	54.9    	57.3     	52.2     	37.9    	31.0    	        
